event_id,rup_id,rlz_id,year,ses_id
0,0,2,1,7337
1,1,2,1,2576
2,2,2,1,6638
3,3,2,1,2515
4,4,2,1,1100
5,5,2,1,4771
6,6,2,1,434
7,7,2,1,6752
8,8,2,1,2774
9,9,2,1,5168
10,10,2,1,2779
11,11,2,1,6549
12,12,2,1,8317
13,13,2,1,3701
14,14,2,1,6950
15,15,2,1,2728
16,16,2,1,5316
17,17,2,1,6917
18,18,2,1,5035
19,19,2,1,4148
20,20,2,1,8171
21,21,2,1,3643
22,22,2,1,4989
23,23,2,1,256
24,24,2,1,7492
25,25,2,1,9542
26,26,2,1,5209
27,27,2,1,3781
28,28,2,1,9519
29,29,2,1,7623
30,30,2,1,1376
31,31,2,1,6266
32,32,2,1,32
33,33,2,1,3665
34,34,2,1,1589
35,35,2,1,3311
36,36,2,1,2779
37,37,2,1,3392
38,38,2,1,6793
39,39,2,1,9618
40,40,2,1,919
41,41,2,1,4857
42,42,2,1,3658
43,43,2,1,9914
44,44,2,1,5994
45,45,2,1,367
46,46,2,1,5885
47,47,2,1,4571
48,48,2,1,2495
49,49,2,1,3156
50,50,2,1,97
51,51,2,1,5676
52,52,2,1,5619
53,53,2,1,7049
54,54,2,1,5709
55,55,2,1,9983
56,56,2,1,7307
57,57,2,1,5437
58,58,2,1,1674
59,59,2,1,6903
60,60,2,1,7255
61,61,2,1,8212
62,62,2,1,3539
63,63,2,1,7554
64,64,2,1,4421
65,65,2,1,5801
66,66,2,1,9278
67,67,2,1,5575
68,68,2,1,486
69,69,2,1,610
70,70,2,1,8083
71,71,2,1,8149
72,72,2,1,5595
73,73,2,1,2904
74,74,2,1,1766
75,75,2,1,7132
76,76,2,1,7905
77,77,2,1,4625
78,78,2,1,4086
79,79,2,1,8828
80,80,2,1,6188
81,81,2,1,7646
82,82,2,1,5447
83,83,2,1,8907
84,84,2,1,6054
85,85,2,1,6800
86,86,2,1,8654
87,87,2,1,4076
88,87,2,1,3904
89,88,2,1,7156
90,89,2,1,8380
91,90,2,1,6834
92,91,2,1,2816
93,92,2,1,5121
94,93,2,1,5695
95,94,2,1,2473
96,95,2,1,443
97,96,2,1,4701
98,97,2,1,7244
99,98,2,1,4659
100,99,2,1,1226
101,100,2,1,6792
102,101,2,1,9043
103,102,2,1,1244
104,103,2,1,9967
105,104,2,1,8417
106,105,2,1,50
107,106,2,1,297
108,107,2,1,1071
109,108,2,1,8124
110,109,2,1,2540
111,110,2,1,7759
112,111,2,1,2527
113,112,2,1,6767
114,113,2,1,8800
115,114,2,1,4897
116,115,2,1,6008
117,116,2,1,5905
118,117,2,1,5526
119,118,2,1,9132
120,119,2,1,7739
121,120,2,1,9238
122,121,2,1,2795
123,122,2,1,4800
124,123,2,1,4606
125,124,2,1,98
126,125,2,1,7177
127,126,2,1,5740
128,127,2,1,4185
129,128,2,1,5488
130,129,2,1,5772
131,130,2,1,6914
132,131,2,1,9132
133,132,2,1,6854
134,133,2,1,3136
135,134,2,1,3208
136,135,2,1,1386
137,136,2,1,7517
138,137,2,1,7376
139,138,2,1,2171
140,139,2,1,7482
141,140,2,1,7584
142,141,2,1,7121
143,142,2,1,299
144,143,2,1,5681
145,144,2,1,549
146,145,2,1,535
147,146,2,1,4116
148,147,2,1,9312
149,148,2,1,1938
150,149,2,1,3118
151,150,2,1,2198
152,151,2,1,421
153,152,2,1,3049
154,153,2,1,5608
155,154,2,1,7164
156,155,2,1,6503
157,156,2,1,3257
158,157,2,1,719
159,158,2,1,3958
160,159,2,1,3122
161,160,2,1,3124
162,161,2,1,8092
163,162,2,1,2244
164,163,2,1,7248
165,164,2,1,4995
166,165,2,1,4358
167,166,2,1,7302
168,167,2,1,4819
169,168,2,1,5470
170,169,2,1,6285
171,170,2,1,391
172,171,2,1,7794
173,172,2,1,6662
174,173,2,1,913
175,174,2,1,3782
176,175,2,1,7989
177,176,2,1,8057
178,177,2,1,9023
179,178,2,1,8603
180,179,2,1,1364
181,180,2,1,5246
182,181,2,1,6693
183,182,2,1,1680
184,183,2,1,726
185,184,2,1,5911
186,185,2,1,7439
187,186,2,1,4161
188,187,2,1,6232
189,188,2,1,3431
190,189,2,1,97
191,190,2,1,5525
192,191,2,1,859
193,192,2,1,9425
194,193,2,1,8967
