#,,,,,,,,,"generated_by='OpenQuake engine 3.11.4', start_date='2022-05-08T14:37:27', checksum=3467869817, investigation_time=1.0, ses_per_logic_tree_path=10000"
rup_id,multiplicity,mag,centroid_lon,centroid_lat,centroid_depth,trt,strike,dip,rake
42,1,5.050000E+00,1.936737E+01,-3.159206E+01,1.000000E+01,Stable Continental Crust,3.049876E+02,7.800500E+01,-1.200000E+00
43,1,5.150000E+00,1.810134E+01,-3.163703E+01,1.000000E+01,Stable Continental Crust,3.049980E+02,7.799996E+01,-1.200000E+00
44,1,7.150000E+00,1.884558E+01,-3.163115E+01,8.750000E+00,Stable Continental Crust,3.048658E+02,7.800040E+01,-1.200000E+00
45,1,5.350000E+00,1.894638E+01,-3.163702E+01,5.000000E+00,Stable Continental Crust,3.049914E+02,7.800022E+01,-1.200000E+00
46,1,5.150000E+00,1.942172E+01,-3.163703E+01,1.500000E+01,Stable Continental Crust,3.049967E+02,7.799996E+01,-1.200000E+00
47,1,5.850000E+00,1.746817E+01,-3.168199E+01,5.000000E+00,Stable Continental Crust,3.049841E+02,7.800163E+01,-1.200000E+00
48,1,7.350000E+00,1.788284E+01,-3.169178E+01,8.750000E+00,Stable Continental Crust,3.047927E+02,7.800051E+01,-1.200000E+00
49,1,5.650000E+00,1.915907E+01,-3.168199E+01,5.000000E+00,Stable Continental Crust,3.049848E+02,7.800126E+01,-1.200000E+00
50,1,6.050000E+00,1.931368E+01,-3.168674E+01,1.196645E+01,Stable Continental Crust,3.049818E+02,7.799882E+01,-1.200000E+00
51,1,5.050000E+00,1.762739E+01,-3.172696E+01,1.500000E+01,Stable Continental Crust,3.049889E+02,7.800010E+01,-1.200000E+00
52,1,5.850000E+00,1.842038E+01,-3.172696E+01,1.000000E+01,Stable Continental Crust,3.049844E+02,7.799955E+01,-1.200000E+00
53,1,5.850000E+00,1.805121E+01,-3.177192E+01,1.000000E+01,Stable Continental Crust,3.049859E+02,7.799955E+01,-1.200000E+00
54,1,6.050000E+00,1.810019E+01,-3.177667E+01,1.196645E+01,Stable Continental Crust,3.049796E+02,7.800071E+01,-1.200000E+00
55,1,5.050000E+00,1.820989E+01,-3.177192E+01,1.000000E+01,Stable Continental Crust,3.049977E+02,7.799911E+01,-1.200000E+00
56,1,6.950000E+00,1.826762E+01,-3.176605E+01,8.750000E+00,Stable Continental Crust,3.049127E+02,7.799993E+01,-1.200000E+00
