#,,,,,,,,,"generated_by='OpenQuake engine 3.11.4', start_date='2022-05-09T18:56:22', checksum=3467869817, investigation_time=1.0, ses_per_logic_tree_path=10000"
rup_id,multiplicity,mag,centroid_lon,centroid_lat,centroid_depth,trt,strike,dip,rake
0,1,5.050000E+00,2.017150E+01,-3.179774E+01,1.500000E+01,Stable Continental Crust,8.901538E+01,6.000197E+01,-8.000000E+01
1,1,5.150000E+00,2.003620E+01,-3.242727E+01,1.000000E+01,Stable Continental Crust,8.901698E+01,6.000219E+01,-8.000000E+01
2,1,5.350000E+00,2.051760E+01,-3.247223E+01,5.000000E+00,Stable Continental Crust,8.902486E+01,5.999837E+01,-8.000000E+01
3,1,5.650000E+00,2.079244E+01,-3.265209E+01,1.000000E+01,Stable Continental Crust,8.902386E+01,5.999797E+01,-8.000000E+01
4,1,5.050000E+00,2.105947E+01,-3.265210E+01,5.000000E+00,Stable Continental Crust,8.900528E+01,6.000633E+01,-8.000000E+01
5,1,5.050000E+00,2.058080E+01,-3.269706E+01,1.000000E+01,Stable Continental Crust,8.901785E+01,5.999761E+01,-8.000000E+01
6,1,5.650000E+00,2.004993E+01,-3.278699E+01,5.000000E+00,Stable Continental Crust,8.902240E+01,5.999798E+01,-8.000000E+01
7,1,5.050000E+00,2.139677E+01,-3.296685E+01,1.000000E+01,Stable Continental Crust,8.901788E+01,6.000193E+01,-8.000000E+01
8,1,5.650000E+00,2.108658E+01,-3.319168E+01,1.000000E+01,Stable Continental Crust,8.902100E+01,6.000045E+01,-8.000000E+01
9,1,5.050000E+00,1.814759E+01,-3.132226E+01,1.000000E+01,Stable Continental Crust,3.049937E+02,7.800058E+01,-1.200000E+00
10,1,5.850000E+00,1.877656E+01,-3.132554E+01,1.290858E+01,Stable Continental Crust,3.049845E+02,7.799715E+01,-1.200000E+00
11,1,5.550000E+00,1.767328E+01,-3.136879E+01,1.400171E+01,Stable Continental Crust,3.049902E+02,7.800063E+01,-1.200000E+00
12,1,5.150000E+00,1.783255E+01,-3.136723E+01,1.500000E+01,Stable Continental Crust,3.049934E+02,7.800348E+01,-1.200000E+00
13,1,5.350000E+00,1.920178E+01,-3.136723E+01,1.000000E+01,Stable Continental Crust,3.049913E+02,7.800064E+01,-1.200000E+00
14,1,5.150000E+00,1.772795E+01,-3.141220E+01,5.000000E+00,Stable Continental Crust,3.049866E+02,7.800275E+01,-1.200000E+00
15,1,5.650000E+00,1.772795E+01,-3.141220E+01,5.000000E+00,Stable Continental Crust,3.049860E+02,7.799832E+01,-1.200000E+00
16,1,7.050000E+00,1.793067E+01,-3.142198E+01,8.750000E+00,Stable Continental Crust,3.048928E+02,7.799974E+01,-1.200000E+00
17,1,7.450000E+00,1.820054E+01,-3.141415E+01,8.750000E+00,Stable Continental Crust,3.047465E+02,7.799934E+01,-1.200000E+00
18,1,6.350000E+00,1.830752E+01,-3.141219E+01,1.000000E+01,Stable Continental Crust,3.049721E+02,7.800045E+01,-1.200000E+00
19,1,5.050000E+00,1.867634E+01,-3.141220E+01,1.000000E+01,Stable Continental Crust,3.049897E+02,7.799854E+01,-1.200000E+00
20,1,5.950000E+00,1.783085E+01,-3.146114E+01,1.246190E+01,Stable Continental Crust,3.049828E+02,7.799955E+01,-1.200000E+00
21,1,5.050000E+00,1.815039E+01,-3.145716E+01,1.000000E+01,Stable Continental Crust,3.049896E+02,7.799895E+01,-1.200000E+00
22,1,5.750000E+00,1.857210E+01,-3.145716E+01,1.000000E+01,Stable Continental Crust,3.049829E+02,7.800384E+01,-1.200000E+00
23,1,5.550000E+00,1.878295E+01,-3.145716E+01,5.000000E+00,Stable Continental Crust,3.049880E+02,7.800084E+01,-1.200000E+00
24,1,5.950000E+00,1.877969E+01,-3.146114E+01,1.246190E+01,Stable Continental Crust,3.049834E+02,7.799899E+01,-1.200000E+00
25,1,5.250000E+00,1.836228E+01,-3.150212E+01,1.000000E+01,Stable Continental Crust,3.049872E+02,7.799950E+01,-1.200000E+00
26,1,6.050000E+00,1.878029E+01,-3.150688E+01,1.196645E+01,Stable Continental Crust,3.049803E+02,7.800018E+01,-1.200000E+00
27,1,6.850000E+00,1.878259E+01,-3.150409E+01,8.750000E+00,Stable Continental Crust,3.049308E+02,7.800053E+01,-1.200000E+00
28,1,5.250000E+00,1.888967E+01,-3.150212E+01,5.000000E+00,Stable Continental Crust,3.049860E+02,7.800066E+01,-1.200000E+00
29,1,5.150000E+00,1.910202E+01,-3.154709E+01,1.000000E+01,Stable Continental Crust,3.049917E+02,7.800011E+01,-1.200000E+00
30,1,5.050000E+00,1.920755E+01,-3.154709E+01,1.500000E+01,Stable Continental Crust,3.049829E+02,7.799979E+01,-1.200000E+00
31,1,5.750000E+00,1.762532E+01,-3.159206E+01,1.000000E+01,Stable Continental Crust,3.049865E+02,7.800085E+01,-1.200000E+00
32,1,6.250000E+00,1.773089E+01,-3.159206E+01,1.000000E+01,Stable Continental Crust,3.049738E+02,7.799924E+01,-1.200000E+00
33,1,5.050000E+00,1.857553E+01,-3.159206E+01,5.000000E+00,Stable Continental Crust,3.049891E+02,7.800500E+01,-1.200000E+00
34,1,7.050000E+00,1.926662E+01,-3.158619E+01,8.750000E+00,Stable Continental Crust,3.048921E+02,7.799971E+01,-1.200000E+00
35,1,5.350000E+00,1.762544E+01,-3.163771E+01,1.456289E+01,Stable Continental Crust,3.049880E+02,7.800024E+01,-1.200000E+00
36,1,6.450000E+00,1.799973E+01,-3.163214E+01,8.118587E+00,Stable Continental Crust,3.049688E+02,7.800049E+01,-1.200000E+00
37,1,5.050000E+00,1.868230E+01,-3.163703E+01,5.000000E+00,Stable Continental Crust,3.049890E+02,7.799923E+01,-1.200000E+00
38,1,5.550000E+00,1.894638E+01,-3.163702E+01,1.000000E+01,Stable Continental Crust,3.049911E+02,7.799975E+01,-1.200000E+00
39,1,5.250000E+00,1.899894E+01,-3.163733E+01,1.480278E+01,Stable Continental Crust,3.049939E+02,7.800043E+01,-1.200000E+00
40,1,5.650000E+00,1.746817E+01,-3.168199E+01,1.000000E+01,Stable Continental Crust,3.049856E+02,7.800126E+01,-1.200000E+00
41,1,5.850000E+00,1.794374E+01,-3.168199E+01,1.000000E+01,Stable Continental Crust,3.049841E+02,7.800226E+01,-1.200000E+00
42,1,7.550000E+00,1.815349E+01,-3.168395E+01,8.750000E+00,Stable Continental Crust,3.046830E+02,7.800035E+01,-1.200000E+00
43,1,5.750000E+00,1.836646E+01,-3.168199E+01,5.000000E+00,Stable Continental Crust,3.049841E+02,7.799880E+01,-1.200000E+00
44,1,5.050000E+00,1.847215E+01,-3.168199E+01,1.000000E+01,Stable Continental Crust,3.049953E+02,7.799966E+01,-1.200000E+00
45,1,5.750000E+00,1.852498E+01,-3.168199E+01,5.000000E+00,Stable Continental Crust,3.049841E+02,7.799880E+01,-1.200000E+00
46,1,5.350000E+00,1.752165E+01,-3.172696E+01,1.000000E+01,Stable Continental Crust,3.049908E+02,7.799731E+01,-1.200000E+00
47,1,5.550000E+00,1.778599E+01,-3.172696E+01,1.000000E+01,Stable Continental Crust,3.049882E+02,7.800007E+01,-1.200000E+00
48,1,6.450000E+00,1.905880E+01,-3.172207E+01,8.118587E+00,Stable Continental Crust,3.049695E+02,7.800054E+01,-1.200000E+00
