lat,lon,custom_site_id,vs30,vs30measured,z1pt0,z2pt5
-34.094,18.387,3,771.977764515,1,37.9245823975,0.596065108901
-34.02,18.849,6,845.373792756,1,22.561961793,0.537241777868
