lat,lon,custom_site_id,vs30,vs30measured,z1pt0,z2pt5
-34.015,18.415,1,756.78335348,1,42.2656281005,0.60977568883
-34.013,18.406,2,896.664199932,1,15.8148923315,0.502232781171
-33.919,18.933,5,837.557941516,1,23.8327076852,0.54298093546
-33.918,18.92,4,759.236101345,1,41.5323860247,0.607522637613
